Count  Avg. elapsed  Min. elapsed  Max. elapsed  Avg. bytes  Min. bytes  Max. bytes  Label
   10       24727.6         22932         27182    952364.0      952364      952364  School of Integrative Plant Science
   10       18585.0         15627         23297    706077.0      706077      706077  Molecular Biology and Genetics
   10       17625.3         15426         19009    509956.0      509956      509956  Meinig School of Biomedical Engineering
   10       11786.1         10474         13994    392113.0      392113      392113  Ecology and Evolutionary Biology
   10       13113.1         11715         15284    465698.0      465698      465698  Food Science
   10       11551.7         10475         14094    386128.0      386128      386128  Animal Science
   10        7913.6          6826          9469    278476.0      278476      278476  Sibley School of Mechanical and Aerospace Engineering
   10        5753.1          5084          6925    221270.0      221270      221270  Natural Resources
   10        7938.9          7034          9979    252072.0      252072      252072  Entomology
   10        3677.1          3196          4629    211121.0      211121      211121  Electrical and Computer Engineering
